Rank,county,pop2019
1,Pulaski,393463
2,Benton,258980
3,Washington,228529
4,Sebastian,127461
5,Faulkner,122416
6,Saline,118009
7,Craighead,105701
8,Garland,98296
9,White,78804
10,Lonoke,72206
11,Jefferson,70424
12,Pope,63644
13,Crawford,62472
14,Crittenden,49013
15,Greene,44623
16,Miller,43759
17,Mississippi,42831
18,Baxter,41219
19,Union,39732
20,Boone,37288
21,Independence,37264
22,Hot Spring,33520
23,Carroll,27887
24,St. Francis,26294
25,Johnson,26291
26,Cleburne,25230
27,Ouachita,24106
28,Poinsett,24054
29,Columbia,23892
30,Clark,22385
31,Hempstead,22018
32,Logan,21757
33,Yell,21573
34,Conway,20906
35,Ashley,20537
36,Polk,20163
37,Phillips,19034
38,Drew,18502
39,Arkansas,18124
40,Grant,18086
41,Franklin,17780
42,Randolph,17603
43,Jackson,17225
44,Sevier,17193
45,Sharp,17043
46,Cross,16998
47,Van Buren,16684
48,Lawrence,16669
49,Marion,16438
50,Madison,16076
51,Clay,15061
52,Lincoln,13695
53,Izard,13559
54,Howard,13389
55,Stone,12446
56,Little River,12417
57,Fulton,12139
58,Desha,11887
59,Bradley,10948
60,Chicot,10826
61,Pike,10808
62,Scott,10442
63,Perry,10322
64,Lee,9398
65,Montgomery,8993
66,Nevada,8440
67,Prairie,8244
68,Cleveland,8226
69,Searcy,7923
70,Newton,7848
71,Dallas,7432
72,Monroe,7249
73,Lafayette,6915
74,Woodruff,6660
75,Calhoun,5202
