Rank,county,pop2019
1,Denver,693417
2,El Paso,688153
3,Arapahoe,636671
4,Jefferson,570427
5,Adams,497115
6,Larimer,338161
7,Douglas,328614
8,Boulder,321030
9,Weld,295123
10,Pueblo,164685
11,Mesa,149998
12,Broomfield,66120
13,Garfield,58538
14,La Plata,55101
15,Eagle,54357
16,Fremont,47002
17,Montrose,41268
18,Summit,30429
19,Delta,30346
20,Morgan,28257
21,Montezuma,25909
22,Elbert,25162
23,Routt,24874
24,Teller,24113
25,Logan,21689
26,Chaffee,19164
27,Otero,18325
28,Pitkin,17909
29,Park,17392
30,Gunnison,16537
31,Alamosa,16444
32,Grand,15066
33,Las Animas,14179
34,Moffat,13060
35,Archuleta,12908
36,Prowers,12052
37,Rio Grande,11351
38,Yuma,10069
39,Clear Creek,9379
40,Conejos,8142
41,San Miguel,7968
42,Kit Carson,7635
43,Lake,7585
44,Huerfano,6583
45,Saguache,6468
46,Rio Blanco,6465
47,Gilpin,5924
48,Bent,5809
49,Crowley,5630
50,Lincoln,5548
51,Washington,4840
52,Ouray,4722
53,Custer,4640
54,Phillips,4318
55,Costilla,3687
56,Baca,3563
57,Sedgwick,2350
58,Cheyenne,2039
59,Dolores,1841
60,Kiowa,1449
61,Jackson,1296
62,Hinsdale,878
63,Mineral,823
64,San Juan,544
