Rank,county,pop2019
1,Miami-Dade,2715516
2,Broward,1909151
3,Palm Beach,1446277
4,Hillsborough,1378883
5,Orange,1321194
6,Pinellas,957875
7,Duval,924229
8,Lee,718679
9,Polk,668671
10,Brevard,576808
11,Volusia,527634
12,Pasco,510593
13,Seminole,455086
14,Sarasota,412144
15,Manatee,373853
16,Collier,363922
17,Marion,348371
18,Osceola,338619
19,Lake,335362
20,Escambia,311522
21,St. Lucie,305591
22,Leon,288102
23,Alachua,263148
24,St. Johns,235503
25,Clay,207291
26,Okaloosa,200737
27,Hernando,182696
28,Bay,182482
29,Charlotte,176954
30,Santa Rosa,170442
31,Martin,157581
32,Indian River,150984
33,Citrus,143087
34,Sumter,120999
35,Flagler,107139
36,Highlands,102101
37,Nassau,80578
38,Monroe,76325
39,Putnam,72766
40,Columbia,69105
41,Walton,65858
42,Jackson,48472
43,Gadsden,46017
44,Suwannee,43924
45,Okeechobee,40572
46,Hendry,40127
47,Levy,39961
48,DeSoto,36399
49,Wakulla,31877
50,Baker,27785
51,Hardee,27228
52,Bradford,26979
53,Washington,24566
54,Taylor,22098
55,Holmes,19430
56,Madison,18474
57,Gilchrist,17615
58,Dixie,16437
59,Gulf,16055
60,Union,15239
61,Calhoun,14444
62,Hamilton,14269
63,Jefferson,14105
64,Glades,13363
65,Franklin,11736
66,Lafayette,8744
67,Liberty,8365
