Rank,county,pop2019
1,Fulton,1021902
2,Gwinnett,902298
3,Cobb,745057
4,DeKalb,743187
5,Chatham,287049
6,Clayton,278666
7,Cherokee,241910
8,Henry,221307
9,Forsyth,219880
10,Richmond,201463
11,Muscogee,196670
12,Hall,195961
13,Paulding,155840
14,Bibb,153490
15,Houston,151682
16,Columbia,147295
17,Douglas,141840
18,Coweta,140516
19,Clarke,124602
20,Carroll,116022
21,Lowndes,114582
22,Fayette,111369
23,Newton,106497
24,Whitfield,103849
25,Bartow,103620
26,Floyd,96824
27,Dougherty,91049
28,Walton,90132
29,Rockdale,89011
30,Glynn,83974
31,Barrow,76887
32,Bulloch,74782
33,Troup,69774
34,Walker,68824
35,Catoosa,66299
36,Jackson,65755
37,Spalding,64719
38,Liberty,62108
39,Effingham,58689
40,Gordon,56790
41,Camden,52714
42,Laurens,47418
43,Colquitt,45606
44,Baldwin,45286
45,Thomas,44730
46,Habersham,44289
47,Coffee,42961
48,Polk,41621
49,Tift,40510
50,Murray,39557
51,Oconee,37017
52,Bryan,35885
53,Ware,35599
54,Harris,33590
55,Lumpkin,31951
56,Pickens,30832
57,Sumter,30352
58,Gilmer,29922
59,Wayne,29767
60,Lee,29348
61,Haralson,28956
62,White,28928
63,Madison,28900
64,Jones,28548
65,Toombs,27048
66,Monroe,27010
67,Peach,26966
68,Decatur,26833
69,Upson,26216
70,Stephens,25676
71,Hart,25631
72,Tattnall,25353
73,Grady,24926
74,Fannin,24925
75,Chattooga,24817
76,Dawson,23861
77,Butts,23750
78,Crisp,22846
79,Union,22775
80,Burke,22550
81,Franklin,22514
82,Emanuel,22499
83,Mitchell,22432
84,Putnam,21503
85,McDuffie,21498
86,Meriwether,21113
87,Dodge,20919
88,Worth,20656
89,Washington,20461
90,Elbert,19212
91,Pierce,19164
92,Berrien,19025
93,Brantley,18561
94,Lamar,18513
95,Banks,18510
96,Appling,18454
97,Morgan,18235
98,Long,18156
99,Pike,18082
100,Cook,17184
101,Ben Hill,17154
102,Greene,16976
103,Rabun,16457
104,Dade,16227
105,Telfair,16115
106,Jefferson,15772
107,Brooks,15622
108,Jeff Davis,14991
109,Oglethorpe,14784
110,McIntosh,14120
111,Screven,13990
112,Dooly,13905
113,Jasper,13784
114,Macon,13480
115,Charlton,12983
116,Bleckley,12775
117,Crawford,12344
118,Heard,11677
119,Towns,11417
120,Pulaski,11295
121,Bacon,11228
122,Candler,10827
123,Chattahoochee,10767
124,Evans,10727
125,Lanier,10366
126,Early,10348
127,Wilkes,9884
128,Johnson,9730
129,Irwin,9268
130,Wilkinson,9078
131,Montgomery,9036
132,Terrell,8859
133,Wilcox,8846
134,Jenkins,8827
135,Hancock,8535
136,Marion,8484
137,Seminole,8437
138,Twiggs,8284
139,Atkinson,8265
140,Taylor,8193
141,Turner,7962
142,Wheeler,7939
143,Lincoln,7799
144,Randolph,7087
145,Treutlen,6777
146,Clinch,6743
147,Calhoun,6428
148,Talbot,6378
149,Stewart,6042
150,Miller,5836
151,Warren,5346
152,Schley,5211
153,Echols,3994
154,Baker,3189
155,Glascock,3009
156,Clay,3001
157,Webster,2613
158,Quitman,2276
159,Taliaferro,1665
