Rank,county,pop2019
1,Ada,446052
2,Canyon,212230
3,Kootenai,153605
4,Bonneville,112397
5,Bannock,85065
6,Twin Falls,83666
7,Bingham,45551
8,Bonner,42711
9,Nez Perce,40155
10,Latah,39239
11,Madison,38705
12,Jefferson,27969
13,Elmore,26433
14,Cassia,23615
15,Jerome,23431
16,Payette,23041
17,Blaine,21994
18,Minidoka,20615
19,Gem,17052
20,Idaho,16337
21,Gooding,15169
22,Franklin,13279
23,Fremont,12965
24,Shoshone,12526
25,Boundary,11549
26,Owyhee,11455
27,Teton,11080
28,Valley,10401
29,Washington,10025
30,Benewah,9086
31,Clearwater,8640
32,Lemhi,7798
33,Power,7713
34,Boise,7163
35,Caribou,6918
36,Bear Lake,5962
37,Lincoln,5321
38,Oneida,4326
39,Custer,4141
40,Adams,4019
41,Lewis,3845
42,Butte,2602
43,Clark,1077
44,Camas,886
