Rank,county,pop2019
1,Cook,5223719
2,DuPage,931743
3,Lake,703619
4,Will,688697
5,Kane,530839
6,McHenry,307789
7,Winnebago,286174
8,Madison,265670
9,St. Clair,263463
10,Champaign,209448
11,Sangamon,197661
12,Peoria,184463
13,McLean,173219
14,Rock Island,145275
15,Tazewell,133852
16,Kendall,124626
17,Kankakee,111061
18,LaSalle,110401
19,Macon,106512
20,DeKalb,104200
21,Vermilion,78407
22,Williamson,67299
23,Adams,66427
24,Jackson,58551
25,Whiteside,56396
26,Boone,53606
27,Coles,51736
28,Ogle,51328
29,Knox,50999
30,Grundy,50509
31,Henry,49464
32,Macoupin,45719
33,Stephenson,45433
34,Franklin,39127
35,Woodford,38817
36,Jefferson,38169
37,Marion,38084
38,Clinton,37628
39,Livingston,36324
40,Fulton,35418
41,Lee,34527
42,Morgan,34426
43,Effingham,34174
44,Monroe,33936
45,Bureau,33381
46,Christian,33231
47,Randolph,32546
48,McDonough,30875
49,Logan,29207
50,Montgomery,29009
51,Iroquois,28169
52,Saline,24231
53,Jersey,22069
54,Jo Daviess,21834
55,Shelby,21832
56,Fayette,21724
57,Perry,21384
58,Douglas,19714
59,Crawford,19088
60,Hancock,18112
61,Edgar,17539
62,Warren,17338
63,Union,17127
64,Bond,16712
65,Wayne,16487
66,Piatt,16427
67,Lawrence,16189
68,De Witt,16042
69,Richland,15881
70,Clark,15836
71,Pike,15754
72,Mercer,15693
73,Moultrie,14703
74,Carroll,14562
75,Massac,14430
76,Washington,14155
77,White,14025
78,Mason,13778
79,Ford,13398
80,Clay,13338
81,Greene,13218
82,Cass,12665
83,Johnson,12602
84,Menard,12367
85,Marshall,11794
86,Wabash,11573
87,Cumberland,10865
88,Jasper,9598
89,Hamilton,8221
90,Schuyler,7064
91,Henderson,6884
92,Brown,6675
93,Alexander,6532
94,Edwards,6507
95,Putnam,5746
96,Pulaski,5611
97,Stark,5500
98,Gallatin,5157
99,Scott,5047
100,Calhoun,4858
101,Pope,4249
102,Hardin,4009
