Rank,county,pop2019
1,Polk,474274
2,Linn,222121
3,Scott,172288
4,Johnson,147001
5,Black Hawk,133009
6,Woodbury,102398
7,Story,96922
8,Dubuque,96802
9,Pottawattamie,93503
10,Dallas,84002
11,Warren,49361
12,Clinton,47218
13,Cerro Gordo,42984
14,Muscatine,42950
15,Marshall,40271
16,Des Moines,39600
17,Jasper,36891
18,Webster,36757
19,Wapello,35315
20,Sioux,34825
21,Lee,34541
22,Marion,33207
23,Boone,26399
24,Benton,25626
25,Plymouth,25039
26,Bremer,24782
27,Mahaska,22208
28,Washington,22143
29,Buchanan,21125
30,Jones,20568
31,Winneshiek,20401
32,Carroll,20344
33,Buena Vista,20260
34,Fayette,19929
35,Henry,19926
36,Jackson,19395
37,Poweshiek,18605
38,Cedar,18445
39,Jefferson,18077
40,Clayton,17672
41,Delaware,17258
42,Tama,17136
43,Crawford,17132
44,Hardin,17127
45,Dickinson,17056
46,Clay,16313
47,Iowa,16207
48,Madison,15890
49,Floyd,15858
50,Page,15363
51,Hamilton,15110
52,Kossuth,15075
53,Mills,14957
54,Butler,14735
55,Harrison,14143
56,O'Brien,13911
57,Allamakee,13880
58,Cass,13191
59,Wright,12804
60,Appanoose,12510
61,Union,12453
62,Grundy,12341
63,Chickasaw,12099
64,Lyon,11769
65,Shelby,11694
66,Cherokee,11468
67,Louisa,11223
68,Hancock,10888
69,Guthrie,10674
70,Mitchell,10631
71,Winnebago,10571
72,Franklin,10245
73,Keokuk,10200
74,Montgomery,10155
75,Sac,9868
76,Calhoun,9780
77,Humboldt,9566
78,Emmet,9551
79,Clarke,9282
80,Howard,9264
81,Palo Alto,9055
82,Greene,9003
83,Davis,8885
84,Monona,8796
85,Lucas,8597
86,Decatur,8044
87,Monroe,7863
88,Worth,7489
89,Van Buren,7223
90,Adair,7124
91,Fremont,6968
92,Ida,6916
93,Pocahontas,6898
94,Wayne,6413
95,Taylor,6201
96,Osceola,6115
97,Audubon,5637
98,Ringgold,4984
99,Adams,3726
