Rank,county,pop2019
1,Johnson,585502
2,Sedgwick,512064
3,Shawnee,178284
4,Wyandotte,164345
5,Douglas,119319
6,Leavenworth,80042
7,Riley,75296
8,Butler,66468
9,Reno,63101
10,Saline,54977
11,Crawford,39108
12,Finney,36957
13,Cowley,35591
14,Geary,34895
15,Harvey,34555
16,Ford,34484
17,Lyon,33299
18,Miami,33127
19,Montgomery,32970
20,Ellis,28878
21,McPherson,28630
22,Barton,26791
23,Franklin,25563
24,Pottawatomie,23545
25,Sumner,23208
26,Seward,22692
27,Labette,20367
28,Cherokee,20331
29,Dickinson,19004
30,Jefferson,18888
31,Atchison,16363
32,Neosho,16125
33,Osage,15882
34,Bourbon,14702
35,Jackson,13318
36,Allen,12630
37,Marion,12032
38,Nemaha,10104
39,Marshall,9798
40,Rice,9762
41,Brown,9664
42,Linn,9635
43,Pratt,9582
44,Cloud,9060
45,Wilson,8780
46,Coffey,8296
47,Clay,8142
48,Anderson,7852
49,Thomas,7824
50,Doniphan,7736
51,Grant,7616
52,Kingman,7470
53,Russell,6977
54,Wabaunsee,6888
55,Pawnee,6709
56,Ellsworth,6293
57,Mitchell,6222
58,Greenwood,6156
59,Gray,6037
60,Sherman,5966
61,Ottawa,5902
62,Stevens,5686
63,Harper,5673
64,Morris,5566
65,Washington,5525
66,Norton,5486
67,Phillips,5408
68,Rooks,5118
69,Scott,4949
70,Barber,4733
71,Republic,4686
72,Meade,4261
73,Stafford,4214
74,Haskell,4047
75,Kearny,3932
76,Smith,3663
77,Osborne,3603
78,Chautauqua,3367
79,Woodson,3170
80,Rush,3102
81,Lincoln,3097
82,Ness,2955
83,Edwards,2925
84,Jewell,2916
85,Decatur,2881
86,Trego,2858
87,Morton,2838
88,Logan,2810
89,Cheyenne,2677
90,Chase,2645
91,Gove,2619
92,Hamilton,2616
93,Elk,2562
94,Graham,2545
95,Kiowa,2526
96,Rawlins,2509
97,Sheridan,2506
98,Wichita,2143
99,Stanton,2063
100,Clark,2053
101,Hodgeman,1842
102,Comanche,1780
103,Lane,1642
104,Wallace,1575
105,Greeley,1200
