Rank,county,pop2019
1,Jefferson,767154
2,Fayette,318734
3,Kenton,164688
4,Boone,129095
5,Warren,126427
6,Hardin,108095
7,Daviess,99937
8,Campbell,92267
9,Madison,89700
10,Bullitt,79466
11,Christian,72263
12,Oldham,65374
13,McCracken,65284
14,Pulaski,64145
15,Pike,60483
16,Laurel,60180
17,Scott,53517
18,Jessamine,52422
19,Franklin,50296
20,Boyd,48091
21,Shelby,46786
22,Henderson,46137
23,Hopkins,45664
24,Nelson,45388
25,Barren,43680
26,Calloway,38776
27,Graves,37294
28,Floyd,36926
29,Whitley,36089
30,Clark,35872
31,Greenup,35765
32,Knox,31467
33,Marshall,31166
34,Muhlenberg,31081
35,Boyle,29913
36,Meade,28326
37,Montgomery,27759
38,Carter,27290
39,Bell,27188
40,Harlan,27134
41,Perry,26917
42,Logan,26849
43,Grayson,26178
44,Woodford,26097
45,Taylor,25500
46,Grant,24915
47,Rowan,24499
48,Lincoln,24458
49,Ohio,24071
50,Johnson,22843
51,Letcher,22676
52,Anderson,22214
53,Mercer,21516
54,Allen,20794
55,Clay,20621
56,Wayne,20609
57,Bourbon,20144
58,Breckinridge,20080
59,Adair,19241
60,Marion,19232
61,Harrison,18668
62,Hart,18627
63,Spencer,18246
64,Simpson,18063
65,Russell,17760
66,McCreary,17635
67,Garrard,17328
68,Mason,17153
69,Rockcastle,16827
70,Henry,15814
71,Casey,15796
72,Lawrence,15783
73,Knott,15513
74,Union,14802
75,Pendleton,14520
76,Fleming,14479
77,Trigg,14344
78,Estill,14313
79,Larue,14156
80,Lewis,13490
81,Jackson,13373
82,Morgan,13285
83,Webster,13155
84,Breathitt,13116
85,Butler,12745
86,Caldwell,12727
87,Magoffin,12666
88,Todd,12350
89,Powell,12321
90,Bath,12268
91,Edmonson,12122
92,Washington,12019
93,Martin,11919
94,Green,11023
95,Owen,10741
96,Carroll,10711
97,Monroe,10634
98,Leslie,10472
99,Clinton,10211
100,Metcalfe,10004
101,McLean,9331
102,Livingston,9263
103,Crittenden,9083
104,Hancock,8719
105,Gallatin,8703
106,Trimble,8637
107,Bracken,8306
108,Lyon,8186
109,Ballard,8090
110,Elliott,7517
111,Wolfe,7223
112,Nicholas,7100
113,Lee,6751
114,Cumberland,6713
115,Menifee,6405
116,Fulton,6210
117,Carlisle,4841
118,Hickman,4568
119,Owsley,4463
120,Robertson,2143
