Rank,county,pop2019
1,East Baton Rouge Parish,444094
2,Jefferson Parish,435300
3,Orleans Parish,389648
4,St. Tammany Parish,252093
5,Caddo Parish,248361
6,Lafayette Parish,240091
7,Calcasieu Parish,200182
8,Ouachita Parish,156075
9,Livingston Parish,138111
10,Rapides Parish,131546
11,Tangipahoa Parish,130504
12,Bossier Parish,126131
13,Ascension Parish,121176
14,Terrebonne Parish,112587
15,Lafourche Parish,98214
16,St. Landry Parish,83449
17,Iberia Parish,72691
18,Acadia Parish,62568
19,Vermilion Parish,59867
20,St. Martin Parish,53752
21,St. Charles Parish,52724
22,St. Mary Parish,51734
23,Vernon Parish,51007
24,Lincoln Parish,47356
25,Washington Parish,46457
26,St. Bernard Parish,45694
27,St. John the Baptist Parish,43446
28,Avoyelles Parish,40882
29,Webster Parish,39631
30,Natchitoches Parish,38963
31,Beauregard Parish,36769
32,Evangeline Parish,33636
33,Iberville Parish,32956
34,Jefferson Davis Parish,31467
35,De Soto Parish,27216
36,Morehouse Parish,25992
37,West Baton Rouge Parish,25860
38,Allen Parish,25661
39,Sabine Parish,24088
40,Plaquemines Parish,23373
41,Assumption Parish,22714
42,Union Parish,22475
43,Grant Parish,22348
44,Pointe Coupee Parish,22158
45,St. James Parish,21357
46,Richland Parish,20474
47,Franklin Parish,20322
48,Concordia Parish,20021
49,East Feliciana Parish,19499
50,Claiborne Parish,16153
51,Jackson Parish,15926
52,West Feliciana Parish,15377
53,LaSalle Parish,14949
54,Winn Parish,14494
55,Bienville Parish,13668
56,Madison Parish,11472
57,West Carroll Parish,11180
58,St. Helena Parish,10411
59,Caldwell Parish,9996
60,Catahoula Parish,9893
61,Red River Parish,8618
62,East Carroll Parish,7225
63,Cameron Parish,6868
64,Tensas Parish,4666
