Rank,county,pop2019
1,Wayne,1761382
2,Oakland,1250843
3,Macomb,868704
4,Kent,643140
5,Genesee,409361
6,Washtenaw,365961
7,Ingham,289564
8,Ottawa,284034
9,Kalamazoo,261573
10,Saginaw,192778
11,Livingston,188482
12,Muskegon,173043
13,St. Clair,159566
14,Jackson,158913
15,Berrien,154807
16,Monroe,149699
17,Calhoun,134473
18,Allegan,115250
19,Eaton,109155
20,Bay,104786
21,Lenawee,98474
22,Grand Traverse,91746
23,Lapeer,88202
24,Midland,83389
25,Clinton,77896
26,Van Buren,75272
27,Isabella,70775
28,Shiawassee,68493
29,Marquette,66939
30,Ionia,64176
31,Montcalm,63209
32,St. Joseph,60897
33,Barry,60057
34,Tuscola,53250
35,Cass,51460
36,Newaygo,48142
37,Hillsdale,45830
38,Branch,43584
39,Mecosta,43264
40,Sanilac,41376
41,Gratiot,41067
42,Chippewa,37834
43,Houghton,36360
44,Delta,36190
45,Wexford,33111
46,Emmet,33039
47,Huron,31543
48,Clare,30616
49,Mason,28884
50,Alpena,28612
51,Oceana,26417
52,Charlevoix,26219
53,Dickinson,25570
54,Cheboygan,25458
55,Gladwin,25289
56,Iosco,25247
57,Manistee,24444
58,Otsego,24397
59,Roscommon,23877
60,Menominee,23234
61,Osceola,23232
62,Antrim,23177
63,Leelanau,21639
64,Ogemaw,20928
65,Benzie,17552
66,Kalkaska,17463
67,Gogebic,15414
68,Arenac,15165
69,Missaukee,15006
70,Crawford,13836
71,Presque Isle,12797
72,Lake,11763
73,Iron,11212
74,Mackinac,10817
75,Alcona,10364
76,Montmorency,9261
77,Alger,9194
78,Baraga,8507
79,Oscoda,8277
80,Schoolcraft,8069
81,Luce,6364
82,Ontonagon,5968
83,Keweenaw,2130
