Rank,county,pop2019
1,Hennepin,1235478
2,Ramsey,541493
3,Dakota,418201
4,Anoka,347431
5,Washington,253317
6,St. Louis,200080
7,Stearns,156819
8,Olmsted,153065
9,Scott,143372
10,Wright,132745
11,Carver,100416
12,Sherburne,93231
13,Blue Earth,66322
14,Rice,65765
15,Crow Wing,63855
16,Clay,62801
17,Otter Tail,57992
18,Chisago,54727
19,Winona,50847
20,Goodhue,46217
21,Beltrami,46117
22,Itasca,45203
23,Kandiyohi,42658
24,Benton,39779
25,Mower,39602
26,Isanti,38974
27,Douglas,37203
28,Steele,36676
29,McLeod,35825
30,Carlton,35540
31,Nicollet,33783
32,Becker,33773
33,Morrison,32949
34,Polk,31591
35,Freeborn,30526
36,Pine,29129
37,Cass,29022
38,Le Sueur,27983
39,Lyon,25839
40,Mille Lacs,25728
41,Brown,25211
42,Todd,24440
43,Meeker,23079
44,Nobles,21839
45,Wabasha,21500
46,Fillmore,20888
47,Hubbard,20862
48,Dodge,20582
49,Martin,19964
50,Waseca,18809
51,Houston,18663
52,Kanabec,16004
53,Aitkin,15834
54,Roseau,15462
55,Redwood,15331
56,Sibley,14912
57,Renville,14721
58,Pennington,14184
59,Faribault,13896
60,Wadena,13646
61,Koochiching,12644
62,Chippewa,12010
63,Cottonwood,11372
64,Pope,10980
65,Watonwan,10973
66,Lake,10569
67,Jackson,10047
68,Yellow Medicine,9868
69,Stevens,9784
70,Rock,9413
71,Swift,9411
72,Marshall,9392
73,Pipestone,9185
74,Clearwater,8812
75,Murray,8353
76,Lac qui Parle,6773
77,Norman,6559
78,Wilkin,6343
79,Grant,5938
80,Lincoln,5707
81,Mahnomen,5506
82,Cook,5311
83,Big Stone,5016
84,Kittson,4337
85,Red Lake,4008
86,Lake of the Woods,3809
87,Traverse,3337
