Rank,county,pop2019
1,Hinds,241774
2,Harrison,202626
3,DeSoto,176132
4,Rankin,151240
5,Jackson,142014
6,Madison,103498
7,Lee,84915
8,Lauderdale,77323
9,Forrest,75517
10,Jones,68454
11,Lamar,61223
12,Lowndes,59437
13,Pearl River,55149
14,Lafayette,53459
15,Oktibbeha,49481
16,Washington,47086
17,Warren,47075
18,Hancock,46653
19,Pike,39737
20,Alcorn,37180
21,Monroe,35840
22,Marshall,35787
23,Lincoln,34432
24,Panola,34243
25,Bolivar,32592
26,Adams,31547
27,Pontotoc,31315
28,Leflore,29804
29,Neshoba,29376
30,Copiah,28721
31,Tate,28493
32,Scott,28415
33,Union,28356
34,Yazoo,27974
35,Simpson,27073
36,Sunflower,26532
37,Prentiss,25360
38,Marion,25202
39,Coahoma,23802
40,George,23710
41,Itawamba,23480
42,Leake,22870
43,Tippah,21990
44,Newton,21524
45,Grenada,21278
46,Wayne,20422
47,Clay,19808
48,Tishomingo,19478
49,Covington,19091
50,Attala,18581
51,Stone,18375
52,Winston,18358
53,Holmes,18075
54,Chickasaw,17279
55,Jasper,16529
56,Smith,16063
57,Clarke,15928
58,Walthall,14601
59,Calhoun,14571
60,Tallahatchie,14361
61,Greene,13714
62,Lawrence,12630
63,Amite,12468
64,Yalobusha,12421
65,Perry,12028
66,Jefferson Davis,11495
67,Noxubee,10828
68,Montgomery,10198
69,Tunica,10170
70,Carroll,10129
71,Kemper,10107
72,Webster,9828
73,Claiborne,9120
74,Wilkinson,8990
75,Humphreys,8539
76,Choctaw,8321
77,Benton,8253
78,Franklin,7757
79,Quitman,7372
80,Jefferson,7346
81,Sharkey,4511
82,Issaquena,1328
