Rank,county,pop2019
1,St. Louis,998684
2,Jackson,692003
3,St. Charles,389985
4,St. Louis city,311273
5,Greene,288429
6,Clay,239164
7,Jefferson,223302
8,Boone,176515
9,Jasper,119238
10,Franklin,102781
11,Cass,102678
12,Platte,98824
13,Buchanan,89076
14,Christian,84275
15,Cape Girardeau,78324
16,Cole,76740
17,St. Francois,66342
18,Newton,58202
19,Lincoln,55563
20,Taney,54720
21,Johnson,53689
22,Pulaski,52591
23,Camden,45096
24,Callaway,44840
25,Phelps,44789
26,Butler,42733
27,Pettis,42371
28,Howell,40102
29,Scott,38729
30,Lawrence,38133
31,Webster,38082
32,Laclede,35507
33,Barry,35493
34,Warren,33908
35,Lafayette,32589
36,Polk,31549
37,Stone,31527
38,Dunklin,30428
39,Stoddard,29512
40,Marion,28672
41,Audrain,25735
42,Texas,25671
43,Adair,25325
44,Miller,25049
45,Randolph,24945
46,Washington,24931
47,Crawford,24280
48,Saline,23102
49,McDonald,22827
50,Ray,22825
51,Nodaway,22547
52,Henry,21765
53,Vernon,20691
54,Clinton,20475
55,Morgan,20137
56,Perry,19146
57,Benton,18989
58,Pike,18489
59,Wright,18293
60,Ste. Genevieve,17871
61,New Madrid,17811
62,Cooper,17622
63,Andrew,17403
64,Pemiscot,17031
65,Dallas,16499
66,Bates,16374
67,Moniteau,15958
68,Dent,15504
69,Macon,15254
70,Livingston,15076
71,Gasconade,14746
72,Cedar,13938
73,Mississippi,13748
74,Ripley,13693
75,Osage,13619
76,Douglas,13374
77,Wayne,13308
78,DeKalb,12564
79,Bollinger,12281
80,Madison,12205
81,Linn,12186
82,Barton,11850
83,Montgomery,11545
84,Oregon,10699
85,Iron,10221
86,Ralls,10217
87,Howard,10113
88,Grundy,10039
89,Lewis,10027
90,St. Clair,9383
91,Hickory,9368
92,Ozark,9236
93,Caldwell,9049
94,Maries,8884
95,Carroll,8843
96,Monroe,8654
97,Harrison,8554
98,Daviess,8302
99,Shannon,8246
100,Dade,7590
101,Chariton,7546
102,Clark,6800
103,Gentry,6665
104,Sullivan,6317
105,Reynolds,6315
106,Carter,6197
107,Shelby,6061
108,Atchison,5270
109,Scotland,4898
110,Putnam,4815
111,Schuyler,4502
112,Holt,4456
113,Knox,3951
114,Mercer,3664
115,Worth,2040
