Rank,county,pop2019
1,Douglas,554992
2,Lancaster,310094
3,Sarpy,178351
4,Hall,61343
5,Buffalo,49030
6,Dodge,36683
7,Scotts Bluff,36255
8,Lincoln,35433
9,Madison,35164
10,Platte,33063
11,Adams,31583
12,Cass,25702
13,Dawson,23804
14,Gage,21595
15,Saunders,21024
16,Dakota,20317
17,Washington,20219
18,Seward,17127
19,Otoe,15896
20,Saline,14288
21,York,13799
22,Box Butte,11089
23,Custer,10830
24,Red Willow,10806
25,Colfax,10760
26,Holt,10245
27,Cheyenne,9852
28,Wayne,9367
29,Hamilton,9178
30,Phelps,9120
31,Cuming,8991
32,Dawes,8896
33,Cedar,8523
34,Knox,8460
35,Keith,8099
36,Butler,8067
37,Richardson,8009
38,Merrick,7803
39,Jefferson,7188
40,Pierce,7157
41,Thurston,7140
42,Nemaha,7004
43,Kearney,6552
44,Burt,6528
45,Howard,6405
46,Antelope,6372
47,Clay,6232
48,Stanton,5992
49,Cherry,5790
50,Dixon,5746
51,Fillmore,5574
52,Boone,5313
53,Polk,5255
54,Sheridan,5234
55,Johnson,5197
56,Thayer,5098
57,Morrill,4841
58,Furnas,4786
59,Nuckolls,4275
60,Valley,4224
61,Chase,3734
62,Kimball,3667
63,Webster,3571
64,Nance,3554
65,Harlan,3438
66,Sherman,3042
67,Franklin,3006
68,Brown,2988
69,Perkins,2907
70,Hitchcock,2843
71,Pawnee,2676
72,Frontier,2609
73,Greeley,2410
74,Boyd,2042
75,Dundy,2023
76,Gosper,2015
77,Garfield,1975
78,Deuel,1894
79,Garden,1860
80,Rock,1350
81,Sioux,1266
82,Hayes,943
83,Logan,886
84,Wheeler,822
85,Keya Paha,792
86,Grant,718
87,Banner,696
88,Hooker,691
89,Thomas,645
90,Loup,585
91,Blaine,480
92,McPherson,454
93,Arthur,418
