Rank,county,pop2019
1,Bernalillo,677692
2,Doña Ana,215338
3,Santa Fe,148917
4,Sandoval,140769
5,San Juan,127455
6,Valencia,75956
7,McKinley,72849
8,Lea,70126
9,Otero,65745
10,Chaves,65459
11,Eddy,57437
12,Curry,50199
13,Rio Arriba,39307
14,Taos,32888
15,Grant,28061
16,San Miguel,28034
17,Cibola,26978
18,Luna,24264
19,Lincoln,19482
20,Roosevelt,19117
21,Los Alamos,18356
22,Socorro,17000
23,Torrance,15595
24,Colfax,12353
25,Sierra,11135
26,Quay,8373
27,Mora,4563
28,Guadalupe,4382
29,Hidalgo,4371
30,Union,4175
31,Catron,3539
32,De Baca,2060
33,Harding,459
