Rank,county,pop2019
1,Kings,2600747
2,Queens,2298513
3,New York,1632480
4,Suffolk,1487901
5,Bronx,1437872
6,Nassau,1356564
7,Westchester,968815
8,Erie,919866
9,Monroe,744248
10,Richmond,474101
11,Onondaga,464242
12,Orange,378227
13,Rockland,323686
14,Albany,307426
15,Dutchess,293894
16,Oneida,230782
17,Saratoga,227377
18,Niagara,211704
19,Broome,194402
20,Ulster,179303
21,Rensselaer,159431
22,Schenectady,154883
23,Chautauqua,129656
24,Oswego,119104
25,Jefferson,114448
26,St. Lawrence,109558
27,Ontario,109472
28,Tompkins,102962
29,Putnam,99070
30,Steuben,96927
31,Wayne,90856
32,Chemung,85740
33,Clinton,80794
34,Cayuga,77868
35,Cattaraugus,77686
36,Sullivan,75211
37,Madison,71359
38,Warren,64480
39,Livingston,63907
40,Herkimer,62505
41,Washington,61828
42,Columbia,60919
43,Otsego,60244
44,Genesee,58112
45,Fulton,53743
46,Franklin,50692
47,Montgomery,49426
48,Tioga,49045
49,Chenango,48348
50,Cortland,48123
51,Greene,47617
52,Allegany,47025
53,Delaware,45502
54,Orleans,41175
55,Wyoming,40565
56,Essex,37751
57,Seneca,34612
58,Schoharie,31364
59,Lewis,26719
60,Yates,25009
61,Schuyler,17992
62,Hamilton,4575
63,New York City, 8623000
