Rank,county,pop2019
1,Mecklenburg,1054314
2,Wake,1046558
3,Guilford,523582
4,Forsyth,371573
5,Cumberland,332106
6,Durham,306457
7,Buncombe,254474
8,Union,226694
9,New Hanover,224231
10,Gaston,216585
11,Cabarrus,201448
12,Onslow,193912
13,Johnston,191172
14,Pitt,177372
15,Iredell,172525
16,Davidson,164664
17,Alamance,160576
18,Catawba,156729
19,Randolph,142958
20,Orange,142938
21,Rowan,139605
22,Robeson,133442
23,Harnett,130361
24,Brunswick,126860
25,Wayne,124002
26,Henderson,113625
27,Craven,103082
28,Cleveland,97159
29,Moore,95629
30,Nash,94003
31,Rockingham,91270
32,Burke,89712
33,Caldwell,81779
34,Lincoln,81441
35,Wilson,81336
36,Surry,72099
37,Chatham,69791
38,Carteret,68920
39,Wilkes,68460
40,Rutherford,66532
41,Franklin,64902
42,Sampson,63561
43,Stanly,61114
44,Haywood,60433
45,Lee,60125
46,Duplin,59062
47,Pender,59020
48,Granville,58874
49,Lenoir,57227
50,Columbus,56293
51,Watauga,54117
52,Edgecombe,53332
53,Hoke,53239
54,Halifax,51737
55,Beaufort,47243
56,Stokes,45905
57,Richmond,45189
58,McDowell,45109
59,Vance,44482
60,Jackson,42256
61,Davie,41991
62,Pasquotank,39479
63,Person,39305
64,Yadkin,37665
65,Alexander,37119
66,Dare,35741
67,Scotland,35262
68,Macon,34410
69,Bladen,33778
70,Transylvania,33513
71,Cherokee,27668
72,Montgomery,27338
73,Ashe,26786
74,Currituck,25796
75,Anson,25306
76,Hertford,24153
77,Martin,23054
78,Caswell,22746
79,Madison,21405
80,Greene,21008
81,Polk,20458
82,Northampton,20186
83,Warren,20033
84,Bertie,19644
85,Yancey,17667
86,Avery,17501
87,Mitchell,15040
88,Swain,14254
89,Chowan,14205
90,Perquimans,13459
91,Pamlico,12742
92,Washington,12156
93,Gates,11563
94,Alleghany,10973
95,Clay,10813
96,Camden,10447
97,Jones,9695
98,Graham,8557
99,Hyde,5393
100,Tyrrell,4119
