Rank,county,pop2019
1,Cass,174202
2,Burleigh,93737
3,Grand Forks,70400
4,Ward,69034
5,Williams,34061
6,Stark,30876
7,Morton,30544
8,Stutsman,21064
9,Richland,16288
10,Rolette,14603
11,McKenzie,12536
12,Ramsey,11557
13,Barnes,10836
14,Walsh,10802
15,Mountrail,10152
16,McLean,9608
17,Mercer,8570
18,Traill,8019
19,Pembina,7016
20,Benson,6886
21,Bottineau,6589
22,McHenry,5927
23,Ransom,5361
24,Dickey,4970
25,Sioux,4413
26,Dunn,4387
27,Pierce,4210
28,LaMoure,4100
29,Wells,4055
30,Sargent,3883
31,Cavalier,3824
32,Emmons,3352
33,Foster,3290
34,Bowman,3195
35,Nelson,2920
36,McIntosh,2654
37,Hettinger,2576
38,Renville,2495
39,Kidder,2460
40,Grant,2380
41,Divide,2369
42,Adams,2351
43,Eddy,2313
44,Griggs,2266
45,Towner,2246
46,Burke,2213
47,Logan,1927
48,Steele,1910
49,Golden Valley,1882
50,Oliver,1837
51,Sheridan,1405
52,Billings,946
53,Slope,704
