Rank,county,pop2019
1,Franklin,1275333
2,Cuyahoga,1253783
3,Hamilton,812037
4,Summit,541810
5,Montgomery,532034
6,Lucas,432379
7,Butler,378294
8,Stark,373475
9,Lorain,306713
10,Mahoning,231064
11,Lake,230052
12,Warren,226564
13,Clermont,203216
14,Trumbull,201794
15,Delaware,197008
16,Medina,177257
17,Licking,172293
18,Greene,165811
19,Portage,162644
20,Fairfield,152910
21,Clark,135198
22,Wood,129936
23,Richland,121324
24,Wayne,116208
25,Miami,104800
26,Columbiana,104003
27,Allen,103642
28,Ashtabula,98136
29,Geauga,93961
30,Tuscarawas,92526
31,Muskingum,86076
32,Ross,77051
33,Scioto,76377
34,Hancock,75690
35,Erie,75136
36,Belmont,68472
37,Jefferson,66886
38,Athens,65936
39,Marion,65344
40,Knox,61215
41,Washington,60671
42,Lawrence,60622
43,Sandusky,59299
44,Huron,58457
45,Pickaway,57420
46,Union,55654
47,Seneca,55475
48,Ashland,53477
49,Darke,51734
50,Shelby,48797
51,Auglaize,45784
52,Logan,45307
53,Madison,43988
54,Holmes,43859
55,Brown,43679
56,Highland,43007
57,Fulton,42305
58,Crawford,42021
59,Clinton,41896
60,Preble,41207
61,Mercer,40806
62,Ottawa,40709
63,Guernsey,39274
64,Champaign,38864
65,Defiance,38279
66,Williams,36936
67,Coshocton,36574
68,Perry,35985
69,Morrow,34976
70,Putnam,33969
71,Jackson,32524
72,Hardin,31542
73,Gallia,30195
74,Fayette,28645
75,Hocking,28495
76,Van Wert,28281
77,Pike,28214
78,Adams,27878
79,Carroll,27578
80,Henry,27316
81,Meigs,23160
82,Wyandot,22107
83,Paulding,18872
84,Harrison,15307
85,Morgan,14702
86,Noble,14443
87,Monroe,14090
88,Vinton,13111
