Rank,county,pop2019
1,Oklahoma,782051
2,Tulsa,642781
3,Cleveland,276733
4,Canadian,136710
5,Comanche,122561
6,Rogers,90814
7,Payne,81512
8,Wagoner,77850
9,Pottawatomie,72000
10,Creek,71160
11,Muskogee,69084
12,Garfield,62190
13,Grady,54733
14,Washington,52001
15,Le Flore,49909
16,Cherokee,48599
17,Carter,48406
18,Osage,47311
19,Logan,46044
20,Bryan,45759
21,Kay,44880
22,Pittsburg,44382
23,Stephens,43983
24,Delaware,42112
25,Sequoyah,41359
26,Mayes,40980
27,Okmulgee,38889
28,McClain,38634
29,Pontotoc,38358
30,Lincoln,34854
31,McCurtain,32966
32,Ottawa,31566
33,Caddo,29342
34,Custer,29209
35,Garvin,27823
36,Jackson,25384
37,Seminole,25071
38,Beckham,22621
39,Adair,22113
40,Texas,21121
41,Woodward,20967
42,McIntosh,19819
43,Pawnee,16428
44,Marshall,16376
45,Kingfisher,15618
46,Choctaw,14886
47,Craig,14493
48,Murray,13875
49,Atoka,13874
50,Hughes,13460
51,Haskell,12704
52,Okfuskee,12115
53,Washita,11432
54,Noble,11411
55,Pushmataha,11119
56,Johnston,11041
57,Latimer,10495
58,Nowata,10383
59,Love,9933
60,Blaine,9634
61,Woods,9127
62,Kiowa,9001
63,Major,7718
64,Tillman,7515
65,Jefferson,6223
66,Greer,5943
67,Cotton,5929
68,Alfalfa,5857
69,Coal,5618
70,Beaver,5415
71,Dewey,4918
72,Grant,4418
73,Ellis,4072
74,Harper,3847
75,Roger Mills,3708
76,Harmon,2721
77,Cimarron,2189
