Rank,county,pop2019
1,Multnomah,798647
2,Washington,581821
3,Clackamas,405788
4,Lane,368882
5,Marion,335553
6,Jackson,214267
7,Deschutes,180640
8,Linn,122870
9,Douglas,108323
10,Yamhill,103820
11,Benton,89780
12,Josephine,85481
13,Polk,81427
14,Umatilla,76898
15,Klamath,66310
16,Coos,63308
17,Columbia,50851
18,Lincoln,47881
19,Clatsop,38562
20,Malheur,30431
21,Tillamook,26076
22,Union,26028
23,Wasco,25866
24,Jefferson,23143
25,Hood River,23131
26,Curry,22507
27,Crook,22337
28,Baker,15984
29,Morrow,11215
30,Lake,7843
31,Harney,7228
32,Grant,7183
33,Wallowa,6924
34,Gilliam,1907
35,Sherman,1605
36,Wheeler,1426
