Rank,county,pop2019
1,Philadelphia,1575522
2,Allegheny,1225561
3,Montgomery,821301
4,Bucks,626370
5,Delaware,563527
6,Lancaster,538347
7,Chester,517156
8,York,444014
9,Berks,416642
10,Lehigh,362613
11,Westmoreland,354751
12,Luzerne,317884
13,Northampton,301778
14,Erie,275972
15,Dauphin,274515
16,Cumberland,247433
17,Lackawanna,211454
18,Washington,207547
19,Butler,186566
20,Monroe,167586
21,Beaver,166896
22,Centre,161443
23,Franklin,153751
24,Schuylkill,143555
25,Lebanon,138674
26,Cambria,134550
27,Fayette,132289
28,Blair,123842
29,Lycoming,114859
30,Mercer,112630
31,Adams,102023
32,Northumberland,92325
33,Lawrence,87382
34,Crawford,86164
35,Indiana,85755
36,Clearfield,80216
37,Somerset,74949
38,Armstrong,66331
39,Columbia,66220
40,Carbon,63931
41,Bradford,61304
42,Pike,55498
43,Venango,52376
44,Wayne,51536
45,Bedford,48611
46,Mifflin,46362
47,Perry,45924
48,Huntingdon,45421
49,Union,45114
50,Jefferson,44084
51,McKean,41806
52,Susquehanna,41340
53,Tioga,41226
54,Snyder,40466
55,Warren,40035
56,Clinton,39074
57,Clarion,38827
58,Greene,37144
59,Elk,30608
60,Wyoming,27588
61,Juniata,24562
62,Montour,18294
63,Potter,16937
64,Fulton,14506
65,Forest,7351
66,Sullivan,6177
67,Cameron,4686
