Rank,county,pop2019
1,Greenville,498402
2,Richland,408263
3,Charleston,394708
4,Horry,320915
5,Spartanburg,302195
6,Lexington,286316
7,York,258641
8,Berkeley,209065
9,Anderson,195995
10,Beaufort,182658
11,Aiken,166926
12,Dorchester,155474
13,Florence,138561
14,Pickens,122746
15,Sumter,106995
16,Lancaster,89546
17,Orangeburg,88454
18,Oconee,76696
19,Greenwood,70264
20,Darlington,67253
21,Laurens,66710
22,Kershaw,64361
23,Georgetown,61605
24,Cherokee,56711
25,Chesterfield,46024
26,Newberry,38068
27,Colleton,37568
28,Clarendon,34017
29,Chester,32326
30,Williamsburg,31794
31,Marion,31562
32,Dillon,30871
33,Jasper,27900
34,Union,27644
35,Marlboro,27131
36,Edgefield,26769
37,Abbeville,24657
38,Fairfield,22712
39,Barnwell,21577
40,Saluda,20299
41,Hampton,19807
42,Lee,17606
43,Calhoun,14713
44,Bamberg,14600
45,McCormick,9606
46,Allendale,9214
