Rank,county,pop2019
1,Minnehaha,186749
2,Pennington,109294
3,Lincoln,54914
4,Brown,38840
5,Brookings,34239
6,Codington,27993
7,Meade,27424
8,Lawrence,25234
9,Yankton,22717
10,Davison,19901
11,Beadle,18374
12,Hughes,17617
13,Union,15177
14,Oglala Lakota,14335
15,Clay,13925
16,Lake,12574
17,Roberts,10285
18,Butte,10177
19,Todd,10146
20,Charles Mix,9344
21,Custer,8573
22,Turner,8264
23,Hutchinson,7315
24,Grant,7217
25,Bon Homme,6969
26,Fall River,6774
27,Spink,6543
28,Moody,6506
29,Hamlin,6000
30,Dewey,5779
31,McCook,5511
32,Walworth,5510
33,Day,5506
34,Tripp,5468
35,Brule,5256
36,Kingsbury,4967
37,Marshall,4895
38,Deuel,4306
39,Gregory,4201
40,Corson,4168
41,Edmunds,3940
42,Lyman,3869
43,Clark,3673
44,Bennett,3437
45,Hanson,3397
46,Hand,3301
47,Jackson,3287
48,Stanley,2997
49,Douglas,2930
50,Perkins,2907
51,Ziebach,2814
52,Aurora,2759
53,Sanborn,2388
54,McPherson,2364
55,Potter,2326
56,Faulk,2322
57,Miner,2229
58,Haakon,2082
59,Mellette,2055
60,Buffalo,2053
61,Jerauld,2029
62,Campbell,1435
63  TIE,Hyde County and Sully,1331
64,Harding,1311
65,Jones,735
