Rank,county,pop2019
1,Shelby,937005
2,Davidson,684017
3,Knox,456185
4,Hamilton,357546
5,Rutherford,307128
6,Williamson,218648
7,Montgomery,196387
8,Sumner,179473
9,Sullivan,156734
10,Wilson,132663
11,Blount,128443
12,Washington,127055
13,Bradley,104557
14,Madison,97682
15,Sevier,96287
16,Maury,89776
17,Putnam,76440
18,Anderson,75775
19,Robertson,69344
20,Greene,68669
21,Hamblen,63740
22,Tipton,61446
23,Cumberland,58634
24,Hawkins,56402
25,Carter,56391
26,Coffee,54531
27,Jefferson,53247
28,Roane,52897
29,McMinn,52773
30,Dickson,51988
31,Loudon,51610
32,Gibson,49175
33,Bedford,47558
34,Monroe,45876
35,Lawrence,42937
36,Franklin,41512
37,Warren,40454
38,Cheatham,39929
39,Fayette,39692
40,Campbell,39687
41,Dyer,37576
42,Cocke,35336
43,Lincoln,33711
44,Weakley,33626
45,Rhea,32628
46,Henry,32279
47,Marshall,32269
48,Claiborne,31613
49,Obion,30520
50,Giles,29167
51,Marion,28417
52,Carroll,28018
53,Henderson,27859
54,White,26580
55,Lauderdale,26297
56,McNairy,25903
57,Hardin,25771
58,Hardeman,25562
59,Hickman,24678
60,Macon,23487
61,Grainger,23013
62,Overton,22004
63,Scott,21954
64,Morgan,21596
65,DeKalb,19601
66,Smith,19458
67,Union,19293
68,Humphreys,18318
69,Fentress,17994
70,Johnson,17789
71,Unicoi,17780
72,Haywood,17779
73,Chester,17150
74,Polk,16782
75,Wayne,16649
76,Benton,16112
77,Sequatchie,14730
78,Bledsoe,14602
79,Crockett,14499
80,Cannon,13976
81,Grundy,13331
82,Stewart,13301
83,Meigs,11962
84,Lewis,11956
85,Decatur,11683
86,Jackson,11615
87,Trousdale,9573
88,Houston,8176
89,Perry,7912
90,Clay,7686
91,Lake,7526
92,Hancock,6585
93,Moore,6322
94,Van Buren,5704
95,Pickett,5088
