Rank,county,pop2019
1,Harris,4602523
2,Dallas,2586552
3,Tarrant,2019977
4,Bexar,1925865
5,Travis,1203166
6,Collin,944350
7,Hidalgo,849389
8,El Paso,837654
9,Denton,807047
10,Fort Bend,739342
11,Montgomery,554445
12,Williamson,527057
13,Cameron,421750
14,Nueces,360486
15,Brazoria,353999
16,Bell,342236
17,Galveston,327089
18,Lubbock,301454
19,Webb,272053
20,Jefferson,255210
21,McLennan,248429
22,Smith,225015
23,Brazos,219193
24,Hays,204150
25,Ellis,168838
26,Midland,164194
27,Johnson,163475
28,Ector,158342
29,Guadalupe,155137
30,Taylor,136348
31,Comal,135097
32,Randall,132475
33,Wichita,131818
34,Parker,129802
35,Grayson,128560
36,Gregg,123494
37,Potter,120899
38,Kaufman,118910
39,Tom Green,117466
40,Bowie,93858
41,Rockwall,93642
42,Hunt,92152
43,Victoria,91970
44,Angelina,87607
45,Orange,84047
46,Bastrop,82577
47,Liberty,81862
48,Henderson,80460
49,Coryell,75389
50,Walker,71539
51,San Patricio,67046
52,Harrison,66645
53,Nacogdoches,65558
54,Wise,64639
55,Starr,63894
56,Maverick,57970
57,Anderson,57863
58,Hood,56901
59,Hardin,56379
60,Van Zandt,54368
61,Rusk,53595
62,Cherokee,51903
63,Kerr,51365
64,Waller,49987
65,Lamar,49532
66,Medina,49334
67,Val Verde,49027
68,Atascosa,48828
69,Navarro,48583
70,Wilson,48198
71,Polk,47837
72,Burnet,45750
73,Wood,43815
74,Kendall,41982
75,Wharton,41551
76,Erath,41482
77,Caldwell,41401
78,Jim Wells,41192
79,Upshur,40769
80,Chambers,40292
81,Cooke,39571
82,Brown,37834
83,Matagorda,36743
84,Howard,36667
85,Hopkins,36240
86,Jasper,35504
87,Hill,35399
88,Washington,34796
89,Fannin,34175
90,Hale,34113
91,Titus,32730
92,Bee,32691
93,Kleberg,31425
94,Cass,30087
95,Austin,29565
96,Palo Pinto,28317
97,San Jacinto,27819
98,Grimes,27630
99,Uvalde,27009
100,Gillespie,26208
101,Shelby,25478
102,Fayette,25066
103,Aransas,24763
104,Milam,24664
105,Limestone,23515
106,Panola,23440
107,Hockley,23162
108,Houston,22955
109,Gray,22685
110,Calhoun,21807
111,Moore,21801
112,Bandera,21763
113,Willacy,21754
114,Hutchinson,21571
115,Tyler,21496
116,Colorado,21022
117,Gonzales,20667
118  TIE,Lampasas County and Llano,20640
119,DeWitt,20435
120,Gaines,20321
121,Lavaca,19941
122,Jones,19891
123,Freestone,19709
124,Montague,19409
125,Frio,19394
126,Deaf Smith,18899
127,Eastland,18270
128,Bosque,18122
129,Young,18114
130,Burleson,17863
131,Andrews,17818
132,Falls,17299
133,Scurry,17239
134,Leon,17098
135,Lee,16952
136,Robertson,16890
137,Pecos,15797
138,Karnes,15387
139,Reeves,15125
140,Nolan,14966
141,Jackson,14820
142,Trinity,14569
143,Zapata,14369
144,Madison,14128
145,Newton,14057
146,Callahan,13770
147,Comanche,13495
148,Lamb,13262
149,Dawson,12964
150,Wilbarger,12906
151,Camp,12813
152,Terry,12615
153,Morris,12424
154,Red River,12275
155,Zavala,12131
156,Live Oak,12123
157,Ward,11586
158,Rains,11473
159,Duval,11355
160,Blanco,11279
161,Franklin,10679
162,Dimmit,10663
163,Sabine,10458
164,Clay,10387
165,Ochiltree,10348
166,Runnels,10310
167,Marion,10083
168,Parmer,9852
169,Stephens,9372
170,Brewster,9216
171,Jack,8842
172,Archer,8789
173,Somervell,8743
174,Yoakum,8571
175,Mitchell,8558
176,Coleman,8391
177,San Augustine,8327
178,Hamilton,8269
179,McCulloch,8098
180,Winkler,7802
181,Castro,7787
182,Goliad,7531
183,Swisher,7484
184,La Salle,7409
185,Dallam,7243
186,Refugio,7236
187,Childress,7226
188,Brooks,7180
189,Presidio,7123
190,Bailey,7092
191,Garza,6288
192,Carson,6032
193,San Saba,5962
194,Floyd,5872
195,Crosby,5861
196,Haskell,5809
197,Lynn,5808
198,Hartley,5767
199,Martin,5614
200,Hansford,5547
201,Wheeler,5482
202,Jim Hogg,5282
203,Delta,5215
204,Mills,4902
205,Crane,4839
206,Kimble,4408
207,Concho,4233
208,Mason,4161
209,Hudspeth,4098
210,Hemphill,4061
211,Hardeman,3952
212,Fisher,3883
213,Sutton,3865
214,Reagan,3752
215,Knox,3733
216,Kinney,3675
217,Upton,3634
218,Crockett,3633
219,Baylor,3591
220,Lipscomb,3469
221,Real,3389
222,Donley,3387
223,Shackelford,3311
224,Coke,3275
225,Hall,3074
226,Schleicher,3061
227,Sherman,3058
228,Collingsworth,2996
229,Cochran,2904
230,Culberson,2241
231,Jeff Davis,2234
232,Dickens,2216
233,Menard,2123
234,Oldham,2090
235,Edwards,2055
236,Armstrong,1916
237,Cottle,1623
238,Throckmorton,1567
239,Briscoe,1546
240,Irion,1524
241,Glasscock,1430
242,Foard,1408
243,Stonewall,1385
244,Motley,1156
245,Sterling,1141
246,Roberts,885
247,Terrell,862
248,Kent,749
249,Borden,665
250,McMullen,662
251,Kenedy,595
252,King,228
253,Loving,102
