Rank,county,pop2019
1,Fairfax,1143529
2,Prince William,456749
3,Virginia Beach city,450135
4,Loudoun,385143
5,Chesterfield,339447
6,Henrico,325642
7,Norfolk city,245592
8,Chesapeake city,237820
9,Arlington,231803
10,Richmond city,223787
11,Newport News city,180145
12,Alexandria city,156505
13,Stafford,144012
14,Hampton city,135583
15,Spotsylvania,131412
16,Albemarle,106355
17,Hanover,104449
18,Roanoke city,99621
19,Montgomery,97997
20,Portsmouth city,95311
21,Roanoke,93583
22,Suffolk city,89160
23,Frederick,85153
24,Lynchburg city,80131
25,Rockingham,79444
26,Bedford,77908
27,Augusta,74701
28,James City,74153
29,Fauquier,69115
30,York,67587
31,Pittsylvania,61676
32,Franklin,56233
33,Campbell,55170
34,Washington,54406
35,Harrisonburg city,53391
36,Henry,51588
37,Culpeper,50450
38,Charlottesville city,47042
39,Shenandoah,43045
40,Tazewell,42080
41,Danville city,41512
42,Manassas city,41457
43,Warren,39449
44,Wise,39025
45,Prince George,37894
46,Gloucester,37161
47,Isle of Wight,36372
48,Orange,35612
49,Louisa,35380
50,Halifax,34779
51,Pulaski,34234
52,Botetourt,33222
53,Accomack,32742
54,Amherst,31882
55,Petersburg city,31827
56,Smyth,31059
57,Mecklenburg,30847
58,Caroline,30184
59,Carroll,29738
60,Wythe,28940
61,Powhatan,28574
62,Fredericksburg city,28469
63,Dinwiddie,28308
64,Winchester city,27789
65,Russell,27408
66,Fluvanna,26282
67,King George,25890
68,Salem city,25519
69,Staunton city,24452
70,Lee,24134
71,Fairfax city,23865
72,Page,23749
73,Prince Edward,22956
74,Rockbridge,22509
75,Goochland,22482
76,Hopewell city,22408
77,Buchanan,22138
78,Scott,22009
79,Waynesboro city,21926
80,New Kent,21103
81,Greene,19410
82,Southampton,17939
83,Patrick,17859
84,Westmoreland,17638
85,Radford city,17630
86,Colonial Heights city,17593
87,Buckingham,17004
88,Bristol city,16843
89,Giles,16814
90,Brunswick,16665
91,King William,16497
92,Manassas Park city,16423
93,Grayson,15811
94,Floyd,15666
95,Appomattox,15577
96,Nottoway,15500
97,Alleghany,15286
98,Dickenson,14960
99,Nelson,14812
100,Williamsburg city,14788
101,Clarke,14365
102,Falls Church city,14067
103,Madison,13139
104,Martinsville city,13101
105,Amelia,12854
106,Lunenburg,12278
107,Northumberland,12223
108,Charlotte,12095
109,Poquoson city,12039
110,Northampton,11957
111,Greensville,11659
112,Sussex,11486
113,Essex,11036
114,Lancaster,10804
115,Middlesex,10700
116,Cumberland,9786
117,Richmond,8878
118,Mathews,8796
119,Franklin city,8211
120,Rappahannock,7332
121,Lexington city,7110
122,King and Queen,7052
123,Charles City,6995
124,Galax city,6638
125,Surry,6600
126,Bland,6447
127,Buena Vista city,6399
128,Covington city,5582
129,Emporia city,5381
130,Craig,5113
131,Bath,4393
132,Norton city,3990
133,Highland,2214
