Rank,county,pop2019
1,King,2163257
2,Pierce,859840
3,Snohomish,786620
4,Spokane,497875
5,Clark,465384
6,Thurston,274684
7,Kitsap,262475
8,Yakima,249325
9,Whatcom,216812
10,Benton,194168
11,Skagit,123907
12,Cowlitz,105112
13,Grant,94860
14,Franklin,90660
15,Island,81636
16,Lewis,76947
17,Chelan,75757
18,Clallam,74487
19,Grays Harbor,71967
20,Mason,62627
21,Walla Walla,60236
22,Whitman,48593
23,Kittitas,44825
24,Stevens,44214
25,Okanogan,41638
26,Douglas,41371
27,Jefferson,30856
28,Asotin,22337
29,Klickitat,21396
30,Pacific,21281
31,Adams,19452
32,San Juan,16473
33,Pend Oreille,13219
34,Skamania,11620
35,Lincoln,10435
36,Ferry,7576
37,Wahkiakum,4189
38,Columbia,4001
39,Garfield,2224
