Rank,county,pop2019
1,Kanawha,185710
2,Berkeley,113495
3,Monongalia,105252
4,Cabell,95318
5,Wood,85556
6,Raleigh,76232
7,Harrison,68209
8,Mercer,60486
9,Putnam,56652
10,Marion,56497
11,Jefferson,56179
12,Fayette,44126
13,Ohio,42547
14,Wayne,40708
15,Greenbrier,35347
16,Preston,33837
17,Logan,33801
18,Marshall,31645
19,Hancock,29680
20,Randolph,29065
21,Jackson,29018
22,Mineral,27278
23,Mason,26939
24,Nicholas,25324
25,Mingo,24741
26,Upshur,24605
27,Hampshire,23363
28,Boone,22817
29,Brooke,22772
30,Wyoming,21711
31,Lincoln,21078
32,McDowell,19217
33,Morgan,17624
34,Taylor,16951
35,Barbour,16730
36,Lewis,16276
37,Wetzel,15614
38,Braxton,14282
39,Roane,14205
40,Hardy,13842
41,Monroe,13467
42,Summers,13018
43,Grant,11641
44,Ritchie,9932
45,Tyler,8909
46,Clay,8785
47,Doddridge,8536
48,Pocahontas,8531
49,Webster,8518
50,Gilmer,8205
51,Pleasants,7507
52,Calhoun,7396
53,Pendleton,7056
54,Tucker,7027
55,Wirt,5797
